Title,Start Date,End Date,Location,Event Type,Description,Image URL,Register URL
GPDC Emory Collaboration: Rapid Screening & Red-Flag Identification in Client Interviews,2026-02-20,2026-02-20,Emory University School of Law,in-person,Collaborative training with Emory University on rapid screening techniques and identifying red flags during client interviews.,https://images.unsplash.com/photo-1516382799247-87df95d790b7?q=80&w=2348&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,#
Winter CPD Meeting,2026-02-27,2026-02-28,"Evergreen, Stone Mountain",in-person,"Biannual meeting bringing together Circuit Public Defenders from across Georgia for updates, training, and collaboration.",https://images.unsplash.com/photo-1764471444363-e6dc0f9773bc?q=80&w=987&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,#
Leadership Academy - Spring Cohort,2026-03-15,,"Atlanta, GA",in-person,Intensive leadership development program for Assistant and Circuit Public Defenders.,https://cdn.prod.website-files.com/66c9595306b0d169d1677ecc/684200c524675d5f75d8021d_Leadership%20Academy%20Graduation-10%20Large.jpeg,https://gapubdef.org/events/leadership-academy-spring-2026
Mental Health Defense Seminar,2026-03-22,,"Atlanta, GA / Online",hybrid,Understanding mental health issues in criminal defense cases.,,https://gapubdef.org/events/mental-health-defense
Nxt Up Program Kickoff,2026-04-08,,"Atlanta, GA",in-person,Executive-readiness program for Chief Assistant Public Defenders preparing for leadership roles.,,https://gapubdef.org/events/nxt-up-2026
Trial Advocacy Workshop,2026-05-18,2026-05-20,"Macon, GA",in-person,Hands-on trial skills training with mock trials and expert feedback.,,https://gapubdef.org/events/trial-advocacy-workshop
Ethics in Public Defense,2026-06-10,,On-Demand,on-demand,Self-paced ethics CLE covering professional responsibility for public defenders.,,https://gapubdef.org/events/ethics-on-demand
Public Defense Week 2026,2026-07-20,2026-07-25,"Athens, GA",in-person,"Annual flagship conference featuring Summer Public Defense Conference, Chief Assistant Training, and Transition into Law Practice Program.",https://cdn.prod.website-files.com/66c9595306b0d169d1677ecc/66e891aa2febf78fe64b3da0_1Q8A3235_2.jpg,https://gapubdef.org/events/public-defense-week-2026
Capital Defense Symposium,2026-09-15,2026-09-17,"Atlanta, GA",in-person,Advanced training for capital defense attorneys and mitigation specialists.,,https://gapubdef.org/events/capital-defense-symposium
